"Country/Region/World","ISO","Sex","Year","Mean systolic blood pressure (mmHg)","Mean systolic blood pressure lower 95% uncertainty interval (mmHg)","Mean systolic blood pressure upper 95% uncertainty interval (mmHg)","Mean diastolic blood pressure (mmHg)","Mean diastolic blood pressure lower 95% uncertainty interval (mmHg)","Mean diastolic blood pressure upper 95% uncertainty interval (mmHg)","Prevalence of raised blood pressure","Prevalence of raised blood pressure lower 95% uncertainty interval","Prevalence of raised blood pressure upper 95% uncertainty interval"
"Central and Eastern Europe",NA,"Men",1996,132.467035999491,130.870348248264,133.958928929445,83.3852838790809,82.3807318449512,84.3844334280439,0.394338854774588,0.355064616966241,0.433139197596111
"Central and Eastern Europe",NA,"Men",1997,132.379674321471,130.741998994999,133.884891924617,83.304481338538,82.2742231893934,84.3134113120726,0.389899301759961,0.350990375632078,0.429140399500819
"Central and Eastern Europe",NA,"Men",1998,132.305756917927,130.663824130915,133.826044419827,83.225549557288,82.1776090601661,84.2264325890035,0.385404351987276,0.346992022893324,0.424882632320413
"Central and Eastern Europe",NA,"Men",1999,132.250808707494,130.609096550299,133.787860602707,83.1510963483776,82.0821898149929,84.1720142397759,0.381031321721861,0.342368073476746,0.420844208911369
"Central and Eastern Europe",NA,"Men",2000,132.213388604553,130.571205062338,133.755856845057,83.0817066615478,82.0082595730406,84.1222413109364,0.376825923294502,0.338038992956122,0.4169388450425
"Central and Eastern Europe",NA,"Men",2001,132.193024039294,130.559193213342,133.741848267824,83.0169105268489,81.9338128286999,84.0618993103455,0.372747105147824,0.334479290012597,0.412552182835937
"Central and Eastern Europe",NA,"Men",2002,132.189800195018,130.547352102927,133.765144327869,82.9574870477583,81.8697387036058,84.0198821295805,0.368834305846751,0.330496699612268,0.408592905946778
"Central and Eastern Europe",NA,"Men",2003,132.204652332345,130.582504933687,133.783472950528,82.9030015560418,81.8153845371669,83.9766983282503,0.365095452930964,0.326342423199532,0.404938986723554
"Central and Eastern Europe",NA,"Men",2004,132.233341553247,130.615549622607,133.827364508168,82.8534394274706,81.7717159067986,83.9399071925224,0.361592195892312,0.322983358364644,0.401514803910926
"Central and Eastern Europe",NA,"Men",2005,132.269890500543,130.638636091803,133.83333296432,82.8085395922425,81.7208983038304,83.9136007895149,0.358340213135031,0.320052145759292,0.398597794378437
"Central and Eastern Europe",NA,"Men",2006,132.313034754788,130.667888366775,133.917099425591,82.7679430357514,81.6790416098821,83.8829199909905,0.355326095540338,0.316522142000495,0.396453044979694
"Central and Eastern Europe",NA,"Men",2007,132.366579437651,130.685042374862,134.010471640405,82.7336503502138,81.6263809938493,83.8651319949263,0.352602607312184,0.312660033574382,0.39425867638607
"Central and Eastern Europe",NA,"Men",2008,132.423727274341,130.680621990184,134.12345362122,82.7022048444004,81.5645577779187,83.8573139694692,0.350069097048687,0.308823931043958,0.393812151354129
"Central and Eastern Europe",NA,"Men",2009,132.481769993358,130.68432982332,134.279259418011,82.6699366775043,81.4848679071991,83.8763530910111,0.347648649915209,0.304769535574152,0.393210060255249
"Central and Eastern Europe",NA,"Men",2010,132.539412158097,130.634002883581,134.449811190409,82.6363011701975,81.379616071086,83.9136490245021,0.345291922298267,0.300634264701346,0.393114376116333
"Central and Eastern Europe",NA,"Men",2011,132.595353884274,130.549291900126,134.623160434415,82.6008048282365,81.2459608873483,83.9627818425251,0.342938596791172,0.296161196268169,0.393461852855974
"Central and Eastern Europe",NA,"Men",2012,132.658560233756,130.451240971078,134.83712528012,82.5666490913239,81.1280944807968,84.0250611253513,0.340715145319586,0.291117775294689,0.3947433858045
"Central and Eastern Europe",NA,"Men",2013,132.723376593428,130.302084750292,135.103175754704,82.5315415987451,80.939054706369,84.1215401986663,0.33855039495598,0.28621154507615,0.396148388149288
"Central and Eastern Europe",NA,"Men",2014,132.786831888449,130.159985429865,135.414760418521,82.4942074897413,80.7443034119143,84.2445703456535,0.336435433408858,0.279717514166051,0.397427161326271
"Central and Eastern Europe",NA,"Men",2015,132.847224769546,130.008805307516,135.719650795333,82.4553708108891,80.5703176911693,84.3903410604211,0.33435758586221,0.274408709594832,0.399115102017408
"Central Asia and North Africa-Middle East",NA,"Men",1975,126.46520120922,120.389279010436,132.182366149025,78.3291914796627,74.4117986563675,82.0280459539303,0.302627383815922,0.200437051681737,0.403374913539976
"Central Asia and North Africa-Middle East",NA,"Men",1976,126.505730452169,120.78415382345,131.870489770587,78.3743452375616,74.6889056160933,81.8364964338762,0.302224621336065,0.204398962052444,0.398383184014632
"Central Asia and North Africa-Middle East",NA,"Men",1977,126.541537366988,121.163514355403,131.57127332602,78.4145700634699,74.9754624461992,81.6086126815069,0.301747332281855,0.208547838972223,0.39264696236854
"Central Asia and North Africa-Middle East",NA,"Men",1978,126.572243756886,121.499760978649,131.274207195175,78.4518758955403,75.2036058778128,81.4292797932275,0.301209769778662,0.212901295483548,0.387287691328624
"Central Asia and North Africa-Middle East",NA,"Men",1979,126.595852756473,121.884090853318,130.944738279848,78.4846022807517,75.4382866969969,81.2377485178886,0.300578207326268,0.216458718834487,0.381506764959241
"Central Asia and North Africa-Middle East",NA,"Men",1980,126.616071321554,122.27718501354,130.663919835231,78.5149659985243,75.6480354635421,81.0482620641382,0.299874920597423,0.22032461369692,0.376412050088765
"Central Asia and North Africa-Middle East",NA,"Men",1981,126.633194909928,122.521322308863,130.43893673664,78.5448733073497,75.8870292411911,80.9253932096107,0.299151869171572,0.223189331847116,0.371831973247677
"Central Asia and North Africa-Middle East",NA,"Men",1982,126.648321519343,122.785341766508,130.220703452262,78.5737424905,76.0882558948193,80.7948884349426,0.298379094860632,0.22613943652111,0.368365100453636
"Central Asia and North Africa-Middle East",NA,"Men",1983,126.658847390205,123.055556253526,129.942608683828,78.6013066127276,76.2727934878373,80.6848659573931,0.297556513504705,0.229581326834529,0.364429974182842
"Central Asia and North Africa-Middle East",NA,"Men",1984,126.66557314338,123.32541339782,129.731967987457,78.6295670943264,76.4791120524021,80.5513116070349,0.296706480084094,0.232522999123497,0.359747064337079
"Central Asia and North Africa-Middle East",NA,"Men",1985,126.666843886618,123.564246529506,129.54688007873,78.6576204037698,76.6528828935672,80.46036614318,0.295794074893255,0.234644497680865,0.356190454585586
"Central Asia and North Africa-Middle East",NA,"Men",1986,126.660820160217,123.780421838613,129.35324014201,78.6821825697316,76.8269363193078,80.3749749165364,0.294730700462928,0.236592243402922,0.3520569305739
"Central Asia and North Africa-Middle East",NA,"Men",1987,126.647666858132,123.973520895352,129.177934521672,78.7044479917606,76.9911814546926,80.2959198356416,0.293545895046289,0.239184803679238,0.348531809205646
"Central Asia and North Africa-Middle East",NA,"Men",1988,126.626240573152,124.133246522141,128.989798526908,78.7235850452969,77.1227321469423,80.197469330738,0.292206175652343,0.240377993071852,0.344690224869271
"Central Asia and North Africa-Middle East",NA,"Men",1989,126.598730937075,124.287850629716,128.792512564351,78.7396061075263,77.2627439282971,80.1269009757611,0.290736186488216,0.242104063685168,0.340399162692884
"Central Asia and North Africa-Middle East",NA,"Men",1990,126.562647483431,124.374639822541,128.634549935538,78.7523313202189,77.3744751707256,80.0628778912943,0.289127082350543,0.24230847048964,0.336099148933001
"Central Asia and North Africa-Middle East",NA,"Men",1991,126.520246223365,124.455269223569,128.45950338669,78.7610732283301,77.4816376745492,79.9964814773375,0.287343573805483,0.243490023700238,0.332562110543797
"Central Asia and North Africa-Middle East",NA,"Men",1992,126.47650321788,124.555330664026,128.313723853274,78.7686944518791,77.5623577822451,79.9279095845216,0.285498118443459,0.243484664735565,0.32900061350913
"Central Asia and North Africa-Middle East",NA,"Men",1993,126.432032676574,124.623370945876,128.168289118024,78.7765263969521,77.6518779757875,79.8952805079425,0.283619904655183,0.243653517449541,0.325497711556208
"Central Asia and North Africa-Middle East",NA,"Men",1994,126.389862215212,124.683822255944,128.076710740126,78.7862857543901,77.7298597984642,79.8382122635506,0.28173028622956,0.243330958757041,0.321815150253592
"Central Asia and North Africa-Middle East",NA,"Men",1995,126.352864749554,124.726571673305,127.956222427713,78.7978134102995,77.7794191176282,79.8048698415696,0.279867583090828,0.243111465673112,0.318498396840446
"Central Asia and North Africa-Middle East",NA,"Men",1996,126.320938052146,124.752838894593,127.872574553777,78.8112452956891,77.8432280940517,79.7599346499512,0.277986417543857,0.243121382849798,0.315200056949418
"Central Asia and North Africa-Middle East",NA,"Men",1997,126.297685906924,124.795486606446,127.789307258428,78.8279501188961,77.8949094963377,79.725187925229,0.276162578373715,0.24271948082578,0.31213499460264
"Central Asia and North Africa-Middle East",NA,"Men",1998,126.283216346874,124.848602197695,127.701866719079,78.8470525105145,77.9647417237429,79.710877256115,0.274401483484897,0.242610808027874,0.308816194317115
"Central Asia and North Africa-Middle East",NA,"Men",1999,126.278330463103,124.904155990241,127.618460789114,78.8663892764789,78.012677405271,79.6859723181715,0.272685693699424,0.24211192044225,0.305277702742446
"Central Asia and North Africa-Middle East",NA,"Men",2000,126.283331384225,124.949937697731,127.574896449944,78.8852642672985,78.0583188725503,79.6803853886596,0.27104571871404,0.241401071504301,0.302508100405538
"Central Asia and North Africa-Middle East",NA,"Men",2001,126.296969896223,125.020332886982,127.536669373072,78.9011151829279,78.1154627134976,79.6673802179335,0.269405992534301,0.240726615217842,0.299333596116003
"Central Asia and North Africa-Middle East",NA,"Men",2002,126.317704450275,125.096849569895,127.519019822747,78.9142361525341,78.1568317671518,79.6448339114579,0.267701561685358,0.239924567942873,0.296678010983802
"Central Asia and North Africa-Middle East",NA,"Men",2003,126.345413045714,125.164384164716,127.509405293419,78.9254477388513,78.1932661365575,79.6358700493993,0.265954863721027,0.238907380814879,0.294400141552647
"Central Asia and North Africa-Middle East",NA,"Men",2004,126.378184760657,125.233107298542,127.51449814761,78.9349451828829,78.2275877108529,79.6423189994939,0.264187613725442,0.238279734912688,0.2924234533801
"Central Asia and North Africa-Middle East",NA,"Men",2005,126.414138271509,125.292032480883,127.528580948927,78.9429526179187,78.2514182006283,79.6348367512023,0.262340788799975,0.236793702987266,0.290237303581252
"Central Asia and North Africa-Middle East",NA,"Men",2006,126.453213836677,125.329886343008,127.558576349759,78.9514574935383,78.2697146030337,79.6410176603539,0.26040368642327,0.234695669114381,0.287939137385934
"Central Asia and North Africa-Middle East",NA,"Men",2007,126.499589672858,125.374793225311,127.620883688492,78.9630367856604,78.2809154996081,79.6546085698152,0.258431940530006,0.232767350953123,0.285491397196875
"Central Asia and North Africa-Middle East",NA,"Men",2008,126.547564083467,125.396513096814,127.701732106215,78.9756066341689,78.2574999736919,79.6880774891688,0.256380871558426,0.230241226275327,0.284685516006678
"Central Asia and North Africa-Middle East",NA,"Men",2009,126.590486601908,125.414153315081,127.778189383202,78.987679230681,78.2357595150471,79.7427942951051,0.254238188598666,0.226594795693438,0.283744519183247
"Central Asia and North Africa-Middle East",NA,"Men",2010,126.626606569901,125.376445273923,127.905954582429,78.9996627446099,78.2010554977209,79.7994014562686,0.252052562103898,0.222361423496485,0.283251659224575
"Central Asia and North Africa-Middle East",NA,"Men",2011,126.657079092138,125.292316253221,128.020597537137,79.0125185300892,78.1420806825595,79.8723099689285,0.24980946461523,0.21805372766854,0.284091597344087
"Central Asia and North Africa-Middle East",NA,"Men",2012,126.686232957508,125.214134441535,128.181387122651,79.0279941043253,78.0763302124368,79.974608755269,0.24761368891708,0.214058789745873,0.284451012133853
"Central Asia and North Africa-Middle East",NA,"Men",2013,126.712918114364,125.082098478115,128.36985889152,79.0439790134932,78.0066727966267,80.1045258219967,0.245427275872784,0.209031097420582,0.285106704550201
"Central Asia and North Africa-Middle East",NA,"Men",2014,126.735574187859,124.907515437551,128.577714053535,79.0589181503267,77.8996609910702,80.217610561269,0.243243821189229,0.203844847306894,0.286666825855939
"Central Asia and North Africa-Middle East",NA,"Men",2015,126.755925082089,124.717517669749,128.828614800473,79.0724468608585,77.7673781639431,80.3764874511147,0.241083940600115,0.198598328751334,0.288434133862633
"East and South East Asia",NA,"Men",1975,121.940097950972,117.33808451683,126.582145069877,76.3163613582508,73.2146996054854,79.4563935103864,0.207269092803276,0.13386870761144,0.293277151388658
"East and South East Asia",NA,"Men",1976,121.986262876715,117.832805599074,126.218231781277,76.3675890474458,73.5527403890182,79.2185212310928,0.2073795824784,0.138713492521005,0.287928268462031
"East and South East Asia",NA,"Men",1977,122.038015273441,118.295482527745,125.849182481778,76.4231188417491,73.893595277722,79.0250246477072,0.207629805546022,0.142775432009036,0.281133727232686
"East and South East Asia",NA,"Men",1978,122.092676837059,118.719924729332,125.568769464315,76.47983618639,74.1833692378733,78.8541461140434,0.207981686158257,0.147702237995661,0.274957374204114
"East and South East Asia",NA,"Men",1979,122.149447650489,119.070881845391,125.279532022437,76.5375027087146,74.4659720072221,78.6356772798805,0.208421263260104,0.151794746788906,0.270303077329369
"East and South East Asia",NA,"Men",1980,122.209484851322,119.429411485488,125.017367661089,76.5969099929847,74.7568565392823,78.4941834848794,0.208937462165253,0.156084773498724,0.266233774078429
"East and South East Asia",NA,"Men",1981,122.273395570091,119.790356199428,124.806376840455,76.6607820611005,75.0133116469777,78.3702144071755,0.209585679491392,0.15984311236424,0.263660670362023
"East and South East Asia",NA,"Men",1982,122.33689513069,120.071409734326,124.606051147637,76.7265548010492,75.2353025899183,78.2755366554211,0.210298366250991,0.163180402198866,0.260100169884009
"East and South East Asia",NA,"Men",1983,122.397094197747,120.315619672371,124.483819385096,76.7906876319229,75.4329560585123,78.2037565930264,0.211066025333148,0.16682708595026,0.257339171217777
"East and South East Asia",NA,"Men",1984,122.451630974714,120.499137104629,124.374974850198,76.8506465654221,75.60156619287,78.1401682163042,0.211868675829961,0.170385814650544,0.255531732299972
"East and South East Asia",NA,"Men",1985,122.502503152743,120.686219379157,124.272973493295,76.9090038526758,75.7372757154349,78.1206344819367,0.212794263138178,0.173178856917302,0.253960482121538
"East and South East Asia",NA,"Men",1986,122.552194618654,120.856896161625,124.172935134614,76.963558160226,75.8790531283333,78.0726951848772,0.213780090346392,0.175880505156663,0.252683417144299
"East and South East Asia",NA,"Men",1987,122.604421236954,121.026107494838,124.122156079646,77.0219540845403,76.0098600343279,78.0548218232556,0.214902323644531,0.178925113823889,0.252524470055243
"East and South East Asia",NA,"Men",1988,122.663606139995,121.212068521966,124.085886645122,77.0850121199925,76.1461560925417,78.0647448074252,0.216162522022813,0.181876851154532,0.251825777832618
"East and South East Asia",NA,"Men",1989,122.728648959328,121.348949206374,124.074629589221,77.1502647489588,76.2553183385525,78.0790138296405,0.217503455849985,0.18432101017804,0.251963644285342
"East and South East Asia",NA,"Men",1990,122.802455589688,121.479971443066,124.124582831503,77.220821810665,76.3550174054895,78.0876966704721,0.218938823542009,0.186558046948291,0.252271187924365
"East and South East Asia",NA,"Men",1991,122.887889490143,121.578200568397,124.179090624824,77.2992978756145,76.4481864799152,78.1579924218429,0.220432676290161,0.188784248386645,0.252718771630653
"East and South East Asia",NA,"Men",1992,122.985463820818,121.720764028181,124.246481839397,77.3865550971728,76.5507211670836,78.2040085855347,0.221905044092048,0.191059581789366,0.253533127988232
"East and South East Asia",NA,"Men",1993,123.090284649279,121.81874991227,124.343226282532,77.4815684191072,76.652321548268,78.2896031739551,0.223396514932266,0.192986475221323,0.254524660518985
"East and South East Asia",NA,"Men",1994,123.199891481174,121.941398023812,124.456181822238,77.5803053080765,76.7432696233324,78.3713093255579,0.224882299713315,0.194921796094567,0.255639193630592
"East and South East Asia",NA,"Men",1995,123.314477738625,122.0665718425,124.55620650414,77.6864531209788,76.8699139509694,78.4691123767396,0.226396901410803,0.196853542541415,0.257013035781979
"East and South East Asia",NA,"Men",1996,123.431257784642,122.231121238036,124.644548312492,77.7959392236817,76.9878177760688,78.5597349637334,0.227840428950393,0.198966408455935,0.257883370710719
"East and South East Asia",NA,"Men",1997,123.554357391444,122.349059342285,124.750292462906,77.9108154023526,77.1181737010366,78.661609015536,0.229200634468793,0.200564892200815,0.259104611938805
"East and South East Asia",NA,"Men",1998,123.679410693342,122.522638544768,124.84244585705,78.0267719549854,77.2463251291228,78.7851989208255,0.230426857833605,0.202040395102152,0.25976180713789
"East and South East Asia",NA,"Men",1999,123.804022698852,122.659851897255,124.925262430554,78.1381480822543,77.3807879344298,78.8796073164687,0.231449855129238,0.203502940108404,0.260166427089627
"East and South East Asia",NA,"Men",2000,123.923533751578,122.794591599256,125.022662527821,78.2380518918014,77.4924718233474,78.9731344786078,0.232218791347452,0.204234032860085,0.260726193759012
"East and South East Asia",NA,"Men",2001,124.041278805756,122.939662796424,125.135081676797,78.3261391925485,77.5907361233081,79.0637797912005,0.232732231062839,0.20483734811394,0.260971342006774
"East and South East Asia",NA,"Men",2002,124.162312577311,123.051422625259,125.220734908047,78.4011888567809,77.6821373499289,79.1385064291272,0.233006888510225,0.204988575875227,0.261356835351402
"East and South East Asia",NA,"Men",2003,124.291048241571,123.207374900885,125.346244828373,78.459874450349,77.7402082876557,79.1852686010907,0.233003156693307,0.205288718131101,0.261025068501774
"East and South East Asia",NA,"Men",2004,124.426138280811,123.370816766976,125.470173945548,78.5022734073462,77.7855978388703,79.2329884234614,0.23271551745606,0.205038697143345,0.261115570281466
"East and South East Asia",NA,"Men",2005,124.57279028567,123.505514245484,125.622654913858,78.5298928795107,77.8066286337792,79.258853410499,0.232209597453784,0.204123443316919,0.261392121116289
"East and South East Asia",NA,"Men",2006,124.735797841309,123.625915034117,125.810101566452,78.5471211440333,77.8228496564529,79.269989240024,0.231568856997634,0.202529638588372,0.262012665640766
"East and South East Asia",NA,"Men",2007,124.908829042169,123.763152165303,126.036074371876,78.5533704324721,77.801857677986,79.2940815410438,0.230818592392562,0.20079955889737,0.26283831719875
"East and South East Asia",NA,"Men",2008,125.090491721515,123.882166597226,126.281217660721,78.5505186864875,77.7428559080028,79.3294939116366,0.229998200521063,0.198278455412779,0.263330874193684
"East and South East Asia",NA,"Men",2009,125.277083575519,123.981627748568,126.53692867262,78.5415694550343,77.6655673797537,79.3882953282638,0.229143903905726,0.196120540308309,0.264483062167005
"East and South East Asia",NA,"Men",2010,125.461106953433,124.033365630551,126.86276565012,78.525020638529,77.5477488872592,79.4724275147341,0.228188653837006,0.192847122292449,0.266266859250726
"East and South East Asia",NA,"Men",2011,125.64213311653,124.010027024196,127.229416024184,78.5057643573174,77.4037650971919,79.5788879942861,0.227164383691464,0.188420101874281,0.268816696373528
"East and South East Asia",NA,"Men",2012,125.813347652296,123.945507224439,127.632544533153,78.480638601776,77.2341521514808,79.7162841332842,0.226008589368051,0.184222372139675,0.271224275390485
"East and South East Asia",NA,"Men",2013,125.980741721989,123.82865808479,128.092471504694,78.451629316745,77.0128832823693,79.8780822147667,0.224779376404841,0.179991362156569,0.274616916147278
"East and South East Asia",NA,"Men",2014,126.140086680953,123.628207464493,128.596276915245,78.4187921798308,76.7794879952012,80.038252004472,0.223479686472038,0.174576541952465,0.278186281963297
"East and South East Asia",NA,"Men",2015,126.29275761834,123.433565958178,129.118746747719,78.3816107914148,76.5206255070687,80.2314482877302,0.222102513878631,0.169086036831305,0.28218905909183
"High-income Asia Pacific",NA,"Men",1975,133.091052219112,130.398421883497,135.82874093919,79.5372913571544,77.7156578847378,81.3190522653348,0.362877956110808,0.300373553178986,0.432999143949563
"High-income Asia Pacific",NA,"Men",1976,132.802801985943,130.396982852351,135.272676620374,79.5127837642898,77.8687860856222,81.1448764357258,0.35949182522929,0.301722743718261,0.422927179667002
"High-income Asia Pacific",NA,"Men",1977,132.495322082111,130.282757832577,134.769930431149,79.4751132403768,77.953674190595,80.9443314156903,0.355684013905388,0.302400523202087,0.413465085871788
"High-income Asia Pacific",NA,"Men",1978,132.175650370933,130.14948526005,134.284405455824,79.4277515598789,78.0246952910124,80.7726756061934,0.351577245683796,0.301234533366349,0.405594885210659
"High-income Asia Pacific",NA,"Men",1979,131.847053950325,129.978948292044,133.817252432804,79.3720832478794,78.0561799294637,80.6289904687805,0.347318447761465,0.301207493884553,0.397011230514594
"High-income Asia Pacific",NA,"Men",1980,131.512297678692,129.738625342099,133.354295205619,79.310500987921,78.0751113940837,80.4930293442477,0.342861297510119,0.300229657373204,0.388958525389428
"High-income Asia Pacific",NA,"Men",1981,131.169907071277,129.445027335069,132.926468652563,79.2407337689531,78.0620052740127,80.3851774186455,0.338172356511399,0.297501519063251,0.3813380292296
"High-income Asia Pacific",NA,"Men",1982,130.831237869677,129.183634044053,132.534602380645,79.1689579561574,78.027684000362,80.276370235704,0.333365339523701,0.294083856221593,0.374573842803859
"High-income Asia Pacific",NA,"Men",1983,130.500022610661,128.907363857557,132.144923673022,79.101234009342,77.9801165835356,80.1571606510677,0.328590605057101,0.290918806202812,0.368384670818101
"High-income Asia Pacific",NA,"Men",1984,130.180502906741,128.620030489883,131.777751763906,79.0402266509501,77.9488552759688,80.0887920889051,0.323869701520296,0.28713225898328,0.362667586945428
"High-income Asia Pacific",NA,"Men",1985,129.878633472032,128.347704577286,131.428152554734,78.9913801611969,77.9200901649672,80.0270893727328,0.319250598003055,0.283437562926747,0.357226641767801
"High-income Asia Pacific",NA,"Men",1986,129.596156608451,128.095634582045,131.094339544997,78.9534555582296,77.9051314041965,79.969224091534,0.314723041143396,0.279599663654958,0.352107849159228
"High-income Asia Pacific",NA,"Men",1987,129.339718219047,127.8801648775,130.81986966277,78.9290299604435,77.8913735898579,79.9193772364514,0.310372131226041,0.275618524333433,0.346500587397719
"High-income Asia Pacific",NA,"Men",1988,129.108642614428,127.654230748028,130.556142734701,78.9146784243353,77.9143229479066,79.8781645666632,0.30620940138818,0.272300103941374,0.341631221323733
"High-income Asia Pacific",NA,"Men",1989,128.893321944218,127.472977504578,130.310003749581,78.9016599704519,77.9167547299743,79.8517684227607,0.302171052912545,0.268708893830607,0.337273917559517
"High-income Asia Pacific",NA,"Men",1990,128.692799457464,127.283753961132,130.069008077372,78.8900838947348,77.9233583433405,79.8316468065334,0.298243866980768,0.264971540914164,0.332853286057063
"High-income Asia Pacific",NA,"Men",1991,128.498751292231,127.121009127559,129.868754794268,78.8729170093679,77.9313298485304,79.8091016920535,0.294336567435195,0.261837123439732,0.328051622442225
"High-income Asia Pacific",NA,"Men",1992,128.299774479817,126.933311585311,129.656657369726,78.8443419694468,77.9140991630456,79.7668635129948,0.290347497945275,0.25820870285347,0.323570147616879
"High-income Asia Pacific",NA,"Men",1993,128.088747691908,126.759931348641,129.425644222932,78.8009991114764,77.886489361878,79.7052837119709,0.286265488483522,0.254283560085284,0.319459755605105
"High-income Asia Pacific",NA,"Men",1994,127.863399339266,126.545554382465,129.177298951184,78.7410207845444,77.8450158508433,79.6372706991908,0.282055335308505,0.250569872855381,0.314698877957872
"High-income Asia Pacific",NA,"Men",1995,127.628201334507,126.335574448231,128.926592990664,78.668128694183,77.7842699803243,79.543174411819,0.277801184917671,0.246344378220566,0.309922047478058
"High-income Asia Pacific",NA,"Men",1996,127.387005129459,126.090845548101,128.680507211397,78.5886052623067,77.7281730810679,79.4281719773847,0.273571292527995,0.242153221563126,0.305271951426397
"High-income Asia Pacific",NA,"Men",1997,127.13691902363,125.861949667577,128.401455379595,78.4994916549284,77.6637224145412,79.3153531942779,0.269290475439065,0.238728496025507,0.300505942447753
"High-income Asia Pacific",NA,"Men",1998,126.889280927476,125.641456470887,128.158647450272,78.4105985675965,77.5896509776244,79.2231424438244,0.265046077068611,0.235167092853463,0.294991048934901
"High-income Asia Pacific",NA,"Men",1999,126.650527079472,125.410958024696,127.898014045838,78.3278016402423,77.5151618017425,79.1362267599998,0.260903713199141,0.2315303953183,0.290447815721808
