"Country/Region/World","ISO","Sex","Year","Mean total cholesterol (mmol/L)","Mean total cholesterol lower 95% uncertainty interval (mmol/L)","Mean total cholesterol upper 95% uncertainty interval (mmol/L)","Mean non-HDL cholesterol (mmol/L)","Mean non-HDL cholesterol lower 95% uncertainty interval (mmol/L)","Mean non-HDL cholesterol upper 95% uncertainty interval (mmol/L)","Mean HDL cholesterol (mmol/L)","Mean HDL cholesterol lower 95% uncertainty interval (mmol/L)","Mean HDL cholesterol upper 95% uncertainty interval (mmol/L)"
"Central and Eastern Europe",NA,"Men",2002,5.1327303291165,4.999001098863,5.25929172934839,3.83127152509615,3.74492415825116,3.91840726869504,1.30286520623255,1.2490921492405,1.35640108957237
"Central and Eastern Europe",NA,"Men",2003,5.11996671163372,4.98808432403011,5.24558150002207,3.81721399291562,3.73156267430753,3.90453297069945,1.30382983835,1.25050203020437,1.35741286398192
"Central and Eastern Europe",NA,"Men",2004,5.10766338652963,4.97610417223761,5.23390359973606,3.80362626222446,3.71829388856319,3.89028928971433,1.30421820827576,1.25077788883406,1.35887301677599
"Central and Eastern Europe",NA,"Men",2005,5.09596098661466,4.96586072120427,5.22311978873595,3.79076740158935,3.7051739219229,3.87796956884746,1.30408058790973,1.25005053915213,1.35931317241183
"Central and Eastern Europe",NA,"Men",2006,5.08500558051117,4.95596724635422,5.21185824262183,3.77879673729716,3.69335779001946,3.86562330120101,1.30354742081872,1.24835112608375,1.35909318650842
"Central and Eastern Europe",NA,"Men",2007,5.0748660326973,4.94490227918203,5.20306276826934,3.76784271444436,3.68125822897857,3.85548121192291,1.30287272446628,1.2472977012818,1.35889915639776
"Central and Eastern Europe",NA,"Men",2008,5.06544906882931,4.93720597457184,5.19339259414961,3.75779729581799,3.66946472182106,3.84742647448603,1.30219188941115,1.24503725681624,1.35947388031569
"Central and Eastern Europe",NA,"Men",2009,5.05667765955924,4.92734503875908,5.18375169713953,3.74853403904666,3.65808916978221,3.83942862654676,1.30155703788638,1.24349597500303,1.36151360605065
"Central and Eastern Europe",NA,"Men",2010,5.04828095112649,4.91721541758736,5.17551033136519,3.73976319052727,3.64657992557481,3.8329819531946,1.30096066423166,1.2404182985477,1.36307739599318
"Central and Eastern Europe",NA,"Men",2011,5.04016848515041,4.90750863552211,5.16749082909599,3.73122443773179,3.63476589072299,3.82761908678233,1.30043339006349,1.23714196679666,1.36411062647205
"Central and Eastern Europe",NA,"Men",2012,5.03205034949879,4.89637268086964,5.16417760276202,3.72260984934635,3.62103974784417,3.8229591435651,1.30001663535053,1.23328616434567,1.36766922932251
"Central and Eastern Europe",NA,"Men",2013,5.02371281623641,4.88161236377244,5.16165567875827,3.71362512263409,3.60647513109938,3.82065107841775,1.29967958438682,1.22822175618795,1.37101875482541
"Central and Eastern Europe",NA,"Men",2014,5.01521045895931,4.86387519917772,5.15827996758916,3.70433975447474,3.59348404256828,3.81624037144026,1.29933572061674,1.2219776503274,1.37603992035807
"Central and Eastern Europe",NA,"Men",2015,5.00638351296248,4.84739294068177,5.15993995693728,3.69454997120353,3.57781024794569,3.81409981289384,1.29895432322407,1.21479341938746,1.38133700350383
"Central and Eastern Europe",NA,"Men",2016,4.99745661335096,4.82863223805466,5.16740252417764,3.68456032617286,3.55909217945449,3.81191693830577,1.29859897844676,1.20641589020798,1.3882799355904
"Central and Eastern Europe",NA,"Men",2017,4.98835042883335,4.80513042850409,5.17496182041928,3.67433198128823,3.53960573762679,3.80910963957302,1.29829546493503,1.1984855890001,1.39762105875402
"Central and Eastern Europe",NA,"Men",2018,4.97912301833822,4.77868340080266,5.18703255710277,3.66391760539311,3.5195540851439,3.80829569458828,1.29806389040755,1.19132708487273,1.40577973061435
"Central Asia and North Africa-Middle East",NA,"Men",1980,4.42875812574704,3.99405784858541,4.84744740645566,3.25248129208768,2.98361716441554,3.52570450190658,1.05436819198056,0.868114179048935,1.23101659525806
"Central Asia and North Africa-Middle East",NA,"Men",1981,4.44047303444649,4.04064767804252,4.82973100917003,3.27335272744115,3.01811614565006,3.53548882058687,1.05173743667809,0.876071172154371,1.21616618045945
"Central Asia and North Africa-Middle East",NA,"Men",1982,4.45213956671736,4.08041016414883,4.81034654797433,3.29404299652549,3.05450706680408,3.54057766349038,1.04922465721433,0.884940572837652,1.20253757644128
"Central Asia and North Africa-Middle East",NA,"Men",1983,4.46389299891386,4.11799121163997,4.79704475225772,3.31478307222959,3.08894492494464,3.54764664776761,1.0468201292023,0.89462196091478,1.18863693665665
"Central Asia and North Africa-Middle East",NA,"Men",1984,4.4757621312569,4.15560004389017,4.78304371663679,3.33554710173638,3.12402832114568,3.55483785777141,1.0445018071533,0.901254247879217,1.17500212741095
"Central Asia and North Africa-Middle East",NA,"Men",1985,4.48759376861645,4.19220123155491,4.77224013585505,3.35611605575048,3.15531771042604,3.56325720422399,1.04233921611987,0.910381294719775,1.16515845485304
"Central Asia and North Africa-Middle East",NA,"Men",1986,4.49927910947573,4.23115635568637,4.76055257692152,3.37634049722395,3.19051895652589,3.57030333493405,1.04041687110207,0.918004073150889,1.1540745451676
"Central Asia and North Africa-Middle East",NA,"Men",1987,4.51064698103047,4.26612705350225,4.7519703306051,3.39590829396315,3.21955361603262,3.57762673125239,1.03879421810325,0.923840518253406,1.14566743419272
"Central Asia and North Africa-Middle East",NA,"Men",1988,4.52170603581621,4.29750851359166,4.74437073379131,3.41481281057532,3.24776775160807,3.58472815868503,1.03751490146966,0.92917300633635,1.13894053346071
"Central Asia and North Africa-Middle East",NA,"Men",1989,4.53225954203222,4.32600792450914,4.73728183839073,3.43276340918834,3.27455047265941,3.59307347606474,1.03667187425598,0.935695765732587,1.13225225325324
"Central Asia and North Africa-Middle East",NA,"Men",1990,4.54233429097695,4.35290203399459,4.73122099371813,3.44982835380735,3.30069208703651,3.60085015772853,1.03626551892542,0.941099730291555,1.12647095945783
"Central Asia and North Africa-Middle East",NA,"Men",1991,4.5518956622524,4.37738448359395,4.72319275006851,3.4659335983433,3.32732153865738,3.60640803940924,1.03633090812144,0.947704326797424,1.12158905626076
"Central Asia and North Africa-Middle East",NA,"Men",1992,4.5608503025902,4.3984428505222,4.7213234115148,3.48099507620832,3.35063592264676,3.6125125229687,1.03685557971615,0.954649890991623,1.11630379999393
"Central Asia and North Africa-Middle East",NA,"Men",1993,4.56929051723669,4.4183947727232,4.71784213975952,3.49517298643269,3.37240716230104,3.62026855059086,1.03774600433344,0.96147047688234,1.11212137477263
"Central Asia and North Africa-Middle East",NA,"Men",1994,4.57701811816916,4.43515761567085,4.71409637154343,3.50819034603323,3.39390814199171,3.62609293600702,1.03899426629055,0.966869442530109,1.10876441209413
"Central Asia and North Africa-Middle East",NA,"Men",1995,4.5838811176141,4.45208806258958,4.71221247440482,3.51990687296378,3.41251057588054,3.63026245208052,1.04056203582705,0.972547608437792,1.10599670919732
"Central Asia and North Africa-Middle East",NA,"Men",1996,4.5895490783725,4.46591396054536,4.70833783305294,3.529926127364,3.42925958370337,3.63337079174328,1.04240267923402,0.980401165804008,1.10352605306101
"Central Asia and North Africa-Middle East",NA,"Men",1997,4.59375402647092,4.47707295085888,4.70650164967632,3.53796332608706,3.44458091186756,3.63510772656921,1.04443797919891,0.986827647796595,1.10190694188447
"Central Asia and North Africa-Middle East",NA,"Men",1998,4.59642310900344,4.48866127759081,4.70235112127024,3.54393558084003,3.4554562742995,3.63517143810399,1.04665006877737,0.993415745967565,1.0999541185189
"Central Asia and North Africa-Middle East",NA,"Men",1999,4.59734397298785,4.49593084980427,4.69902025407341,3.54755484812257,3.46351454498699,3.63307967524223,1.04897763764175,0.999251256305415,1.09861414200492
"Central Asia and North Africa-Middle East",NA,"Men",2000,4.59619349467075,4.49987273867884,4.6916179249996,3.54844010890861,3.46906120017605,3.62811935095903,1.05130466261938,1.00455520111904,1.09778362438854
"Central Asia and North Africa-Middle East",NA,"Men",2001,4.59322740838341,4.50175209765905,4.68354297785213,3.54690738292173,3.4714232383567,3.6207966131916,1.05360509538778,1.0094415081948,1.09719006541658
"Central Asia and North Africa-Middle East",NA,"Men",2002,4.58829416872822,4.5017367887149,4.67297527379709,3.54281375371599,3.47055407315705,3.61220045163067,1.05554949771733,1.01401314520316,1.09637893092438
"Central Asia and North Africa-Middle East",NA,"Men",2003,4.58166187698388,4.49989318103893,4.66129779130238,3.53647272007834,3.4679726574656,3.60170546793353,1.05729839287868,1.01864928411829,1.0959088449724
"Central Asia and North Africa-Middle East",NA,"Men",2004,4.57371011656464,4.49630959927476,4.65032677447452,3.52832261748213,3.46392982298145,3.58962933469545,1.0590733895882,1.02211035510418,1.09550715696995
"Central Asia and North Africa-Middle East",NA,"Men",2005,4.56492986636357,4.49042995148024,4.63846292605012,3.51901750124503,3.45704737016517,3.57672066350837,1.0610569146117,1.02625579014161,1.09622568786156
"Central Asia and North Africa-Middle East",NA,"Men",2006,4.55545440796276,4.48245075490508,4.62605799794746,3.50867491752388,3.44956673410216,3.5638700665396,1.06339094971348,1.02984002108815,1.09690380745351
"Central Asia and North Africa-Middle East",NA,"Men",2007,4.54497065700487,4.47329418575019,4.61392806072142,3.49695394011917,3.4399616191048,3.55097558779505,1.06604703915873,1.03378440873461,1.09914780083239
"Central Asia and North Africa-Middle East",NA,"Men",2008,4.53353373035745,4.46304048523829,4.60081561881887,3.48394664604029,3.42787431877774,3.53745267284444,1.06918078909034,1.03745729917688,1.10187578645968
"Central Asia and North Africa-Middle East",NA,"Men",2009,4.52133214748655,4.45207279020324,4.58784996432648,3.4700317276538,3.41517397882206,3.5232717757727,1.07239883272147,1.04073934984013,1.10454186431328
"Central Asia and North Africa-Middle East",NA,"Men",2010,4.5085705388845,4.43981246328496,4.57716336823981,3.45551725886428,3.40140652810331,3.50832097309352,1.07534741261856,1.04460498029184,1.10713484346823
"Central Asia and North Africa-Middle East",NA,"Men",2011,4.49491311266273,4.42597236940374,4.56274793858048,3.43999904916383,3.38577290517266,3.49303334539124,1.07783390807214,1.04686768030048,1.10903256168517
"Central Asia and North Africa-Middle East",NA,"Men",2012,4.47995396607978,4.4112530184817,4.54873505224458,3.42306017150013,3.36749927067801,3.47685429977725,1.07957718870955,1.04914293372719,1.11007972056952
"Central Asia and North Africa-Middle East",NA,"Men",2013,4.46363188632916,4.39466064626991,4.53342538650662,3.40457470778077,3.34816567972327,3.45936232037372,1.08073264335736,1.05034206689163,1.1112673579312
"Central Asia and North Africa-Middle East",NA,"Men",2014,4.44554200454436,4.37305983151821,4.51814135937482,3.3839259922273,3.32575306606616,3.4413092056086,1.08137784944251,1.0492724607334,1.11328199352549
"Central Asia and North Africa-Middle East",NA,"Men",2015,4.42591420543206,4.34735380221157,4.50459672457337,3.36130707853241,3.29983972258442,3.4216440661232,1.0817483667277,1.04850723495284,1.11546762069232
"Central Asia and North Africa-Middle East",NA,"Men",2016,4.40496440397162,4.31826603960145,4.49256129796471,3.33700312707584,3.27098773015527,3.40254967407756,1.08209714105944,1.04554119702921,1.1190247278074
"Central Asia and North Africa-Middle East",NA,"Men",2017,4.38325632644618,4.28578379798379,4.48184291850391,3.31165462778429,3.23991100056286,3.3831955268114,1.08264563716467,1.04155357676434,1.12344865024199
"Central Asia and North Africa-Middle East",NA,"Men",2018,4.36128185978968,4.24794478997667,4.4735935497267,3.28593710683681,3.20817572935626,3.36468430720159,1.08333276847847,1.03556160345463,1.13010684723883
"East and South East Asia",NA,"Men",1980,4.15440451703435,3.83957874799127,4.47610567902034,2.83147343467465,2.6254007688056,3.04206752678702,1.2342790549499,1.10066669793637,1.37028323172604
"East and South East Asia",NA,"Men",1981,4.16605391945972,3.88070269911206,4.45687011716465,2.85017108390778,2.65889640712955,3.04614055380219,1.23134198159969,1.11041689631556,1.3537743138533
"East and South East Asia",NA,"Men",1982,4.17823224910398,3.92203379134769,4.43551362825694,2.86955025194823,2.6923451132991,3.05072462635229,1.22828939440312,1.12012897656634,1.33755849805801
"East and South East Asia",NA,"Men",1983,4.19085618396051,3.96369667795183,4.42028960564381,2.88941338730783,2.72623156919616,3.05814021293011,1.22526636286025,1.12818992534253,1.32383669762845
"East and South East Asia",NA,"Men",1984,4.20377391168966,4.00157489070694,4.40745353654253,2.90946746477625,2.76045493395792,3.06599491154541,1.22222384343736,1.13396398393319,1.31126262154811
"East and South East Asia",NA,"Men",1985,4.21675170842189,4.03519010890184,4.39997154432043,2.92940089120828,2.79320217004703,3.07492093616038,1.21931778910242,1.14057212230601,1.29949805691141
"East and South East Asia",NA,"Men",1986,4.22992116744843,4.06813528009795,4.39618473936998,2.94926035078029,2.82306006156986,3.0850015259938,1.2168151286577,1.14524789801268,1.28833637260264
"East and South East Asia",NA,"Men",1987,4.24314754305587,4.09767073701601,4.39378387853639,2.96876380030841,2.84956146571739,3.09313158665693,1.21480154337208,1.14936649918564,1.27943960994208
"East and South East Asia",NA,"Men",1988,4.2561848751897,4.12455213565079,4.39473602300246,2.98764002333252,2.87636199527255,3.10225809407849,1.21350119626318,1.15274031399203,1.27246737133836
"East and South East Asia",NA,"Men",1989,4.26893292893234,4.14540650538222,4.39596688754074,3.00568418373223,2.90181576050566,3.11337490849844,1.21295759951657,1.15773013956832,1.26819651784491
"East and South East Asia",NA,"Men",1990,4.28159764913581,4.1662407851652,4.4009624655191,3.02315925843234,2.92449416965879,3.12502751046118,1.21316334199608,1.15943303669403,1.265073019238
"East and South East Asia",NA,"Men",1991,4.29413359486266,4.18394137999762,4.40867309544331,3.04006014458618,2.94716144422398,3.13562250019719,1.21382709395195,1.16224825871012,1.26386440585743
"East and South East Asia",NA,"Men",1992,4.30655040449599,4.19855950578883,4.41887845029208,3.05650849059188,2.96719538089377,3.14961513322798,1.21456507288405,1.16421417608937,1.26263810773155
"East and South East Asia",NA,"Men",1993,4.31843253007457,4.20889780490132,4.43130353442196,3.07194969993067,2.98517175694032,3.16214238350012,1.21507066130131,1.16572080525006,1.26171954057959
"East and South East Asia",NA,"Men",1994,4.3295613757973,4.21973858548271,4.44206791201568,3.08621261664098,3.00100655516627,3.17387054490671,1.21516725252444,1.16603472483569,1.2626175395846
"East and South East Asia",NA,"Men",1995,4.33992770473022,4.22539283382843,4.45366036959719,3.09938993867915,3.01596995434815,3.1852462048874,1.21487564188742,1.16666022728657,1.26299434270915
"East and South East Asia",NA,"Men",1996,4.34961278046556,4.23412116926819,4.46512534962682,3.11166526898145,3.02887151083593,3.19733126859765,1.21420950984696,1.16542848562612,1.26357848221386
"East and South East Asia",NA,"Men",1997,4.35864462923807,4.24305635598018,4.47435881750383,3.12319012246414,3.04089054439978,3.20587303385753,1.21314111411828,1.16483295695118,1.26248725081893
"East and South East Asia",NA,"Men",1998,4.3673183687517,4.25158319954282,4.48400005717212,3.13438120592416,3.05189668189345,3.21635082167266,1.21179720862051,1.16399538731917,1.26088064841112
"East and South East Asia",NA,"Men",1999,4.37575984010379,4.26052573595661,4.49147760373821,3.14540052779827,3.06264227703213,3.22619277942653,1.21018875269915,1.16360130693048,1.25857525787115
"East and South East Asia",NA,"Men",2000,4.38407556173719,4.27084863945031,4.4984026885346,3.15634507664825,3.07396876240209,3.23667213160504,1.20837946861939,1.16227551442843,1.25555082789977
"East and South East Asia",NA,"Men",2001,4.392596512237,4.28152114040807,4.50456509999537,3.16778470502616,3.08496288277437,3.24563066391435,1.20644010054847,1.16070927084104,1.25285224225659
"East and South East Asia",NA,"Men",2002,4.40160600858211,4.29175488547546,4.51108142591455,3.18010566694518,3.09791659837897,3.25570499039169,1.20420590579043,1.15923862074122,1.24913119626868
"East and South East Asia",NA,"Men",2003,4.41154336582009,4.30468373202416,4.51836616330321,3.19399791995302,3.11261993233764,3.26823812986275,1.20172424245068,1.1580029647522,1.24475454366042
"East and South East Asia",NA,"Men",2004,4.42274896565684,4.31768194833833,4.52735344133586,3.20988042525226,3.13114424351391,3.28307663434132,1.19913070079043,1.15746559860303,1.24083895255083
"East and South East Asia",NA,"Men",2005,4.43496617895947,4.33442124495635,4.53604637398615,3.22746422534969,3.15086090428389,3.2994449596995,1.1964584584898,1.1565357389838,1.23626490757892
"East and South East Asia",NA,"Men",2006,4.44811924933787,4.35077313577003,4.54625066323282,3.24652353311413,3.1717127804106,3.31785842870234,1.19382504872332,1.15529206557197,1.2323064167864
"East and South East Asia",NA,"Men",2007,4.4617530206838,4.36725332852205,4.55861407103392,3.26637289330774,3.19232919101062,3.33787022747845,1.19127805261533,1.15258349174364,1.22816568943283
"East and South East Asia",NA,"Men",2008,4.47535904190852,4.38202958360441,4.57194891068134,3.2863892578583,3.2133424216285,3.35808600613504,1.18894405724888,1.15022019935723,1.22492798399264
"East and South East Asia",NA,"Men",2009,4.48828880948912,4.39374994019431,4.58461455579684,3.30564559119707,3.231903000529,3.37830532182413,1.18666412949877,1.14826578883229,1.22324061158288
"East and South East Asia",NA,"Men",2010,4.50083352931561,4.40242388882085,4.60018564695298,3.32447508321844,3.24844443962142,3.40085201998403,1.18440162290649,1.14517373890424,1.22191215355204
"East and South East Asia",NA,"Men",2011,4.51320953651616,4.40835212468672,4.62120467501008,3.34305986622509,3.26062547269861,3.42415307271177,1.1824402574546,1.14015018250273,1.22236401983918
"East and South East Asia",NA,"Men",2012,4.5252445769618,4.40790468217072,4.64271958997111,3.36122019077366,3.27163572010426,3.44987917357319,1.18068055500892,1.13456350969281,1.22578155629887
"East and South East Asia",NA,"Men",2013,4.53705063414177,4.40481630279412,4.6681631768779,3.37907992773511,3.28268502387417,3.47688240239582,1.1791010615296,1.12651916538281,1.23033752803161
"East and South East Asia",NA,"Men",2014,4.54856841046817,4.40134909133343,4.70012270614502,3.396404885501,3.29155992973025,3.50302893216677,1.17766990426303,1.11815012421642,1.23572891952782
"East and South East Asia",NA,"Men",2015,4.55972261625913,4.38811811199078,4.73372725669368,3.41308323815039,3.29956696965338,3.52992994243474,1.17643416545501,1.10637895039987,1.24303073359882
"East and South East Asia",NA,"Men",2016,4.57061519026285,4.37446045451524,4.77000101154836,3.42913124899146,3.30496635984139,3.56011932946152,1.1754904465292,1.09577127881795,1.2522771793129
"East and South East Asia",NA,"Men",2017,4.58108046995227,4.36022210695695,4.8093268688055,3.44442538989082,3.30939476113728,3.59087911277815,1.17486086040532,1.08438140427139,1.26201679929764
"East and South East Asia",NA,"Men",2018,4.59114920901223,4.34492436351408,4.85719438938997,3.45906269728883,3.31010700299504,3.62006998720473,1.17449578950575,1.07265020987398,1.27214843724201
"High-income Asia Pacific",NA,"Men",1980,4.77177871070429,4.55934725040463,4.98974321746291,3.49835804940991,3.31999960186789,3.68565944379823,1.23552567995853,1.11798312582541,1.35545760844658
"High-income Asia Pacific",NA,"Men",1981,4.78271229641386,4.58887148536575,4.98463963045742,3.50922639317037,3.3437581230504,3.68373348785915,1.23928094554668,1.1328691554605,1.34710972793295
"High-income Asia Pacific",NA,"Men",1982,4.79343371625672,4.61300955968128,4.97918492207649,3.51968424669343,3.36703106461492,3.68114942113757,1.24315654058002,1.14740995357619,1.34036606120806
"High-income Asia Pacific",NA,"Men",1983,4.80393019473077,4.63372958767732,4.97678901685304,3.52974292070856,3.38848057588391,3.67736275577556,1.24714015740865,1.1608936062156,1.33413086357037
"High-income Asia Pacific",NA,"Men",1984,4.81418421163475,4.65858705423778,4.9715415043527,3.53938232304574,3.40911179807612,3.6741573519578,1.25127636555564,1.17342358999078,1.33069843350542
"High-income Asia Pacific",NA,"Men",1985,4.82412986927937,4.67765778126335,4.96994960078972,3.54847636624189,3.42629861181289,3.67353201297249,1.25549202301528,1.1854076722164,1.32719381232133
"High-income Asia Pacific",NA,"Men",1986,4.83392279998333,4.69613094041809,4.9714080950272,3.55733664202626,3.44503852312154,3.67339449336518,1.25983179118712,1.19621659321411,1.32407876849745
"High-income Asia Pacific",NA,"Men",1987,4.84365532343707,4.71498655381002,4.97152520643626,3.56605203551067,3.46287714978709,3.67441586903821,1.26423577189311,1.2064096258299,1.32307651716509
"High-income Asia Pacific",NA,"Men",1988,4.85331980754724,4.73316335040227,4.97221685452055,3.57452223014908,3.47972272374267,3.67509775650757,1.26881574009583,1.21668800166484,1.32187503512167
"High-income Asia Pacific",NA,"Men",1989,4.86273748292577,4.74986243445992,4.97472803442953,3.58249295557816,3.49492053847232,3.67643870497903,1.27362482741812,1.22599792016354,1.32305417811182
"High-income Asia Pacific",NA,"Men",1990,4.87177967524583,4.76469057261218,4.97817535300676,3.58979178023971,3.50847264123311,3.67709538283251,1.27870034974969,1.23510777490696,1.32349769381233
"High-income Asia Pacific",NA,"Men",1991,4.88021969324,4.77978602769026,4.97988476286202,3.59610060671368,3.52020992823249,3.67655518624697,1.28395698429293,1.24319809794505,1.32497348042914
"High-income Asia Pacific",NA,"Men",1992,4.8882251878349,4.79364158966493,4.9834598946852,3.60167656331117,3.52956078389102,3.67660625979866,1.28943723803617,1.25104613604769,1.32731014486711
"High-income Asia Pacific",NA,"Men",1993,4.89593332813592,4.80400563205437,4.98663567069402,3.60670700361012,3.53900958766493,3.67678561972512,1.29514673275825,1.25849637748923,1.33118377078266
"High-income Asia Pacific",NA,"Men",1994,4.90327492647763,4.8159012409871,4.98956252887957,3.61118719436074,3.54690203897722,3.67754321352229,1.3010329379231,1.26613730633504,1.33576357252036
"High-income Asia Pacific",NA,"Men",1995,4.91027119944901,4.82535647345501,4.9935718246414,3.6151913808591,3.55339322288378,3.67868784590479,1.30710024845903,1.27317758169492,1.34084920802969
"High-income Asia Pacific",NA,"Men",1996,4.91645833929577,4.8350100717129,4.99874678517296,3.61813847545075,3.55879578571579,3.67901855605963,1.31330368400066,1.28038476269881,1.34662075940418
"High-income Asia Pacific",NA,"Men",1997,4.92171335680372,4.84284019900528,5.00207290774942,3.61985799727918,3.56267891300912,3.67915086531719,1.31959823590421,1.28725442227734,1.35210833672926
"High-income Asia Pacific",NA,"Men",1998,4.92603683650385,4.8496000120536,5.0046284151066,3.62038544936219,3.56476884450093,3.67635233673145,1.32593841411985,1.29429367720778,1.35815854128903
"High-income Asia Pacific",NA,"Men",1999,4.92948639985343,4.85591329272742,5.00565790088672,3.61982801990856,3.56555861536358,3.67401702326159,1.33218262452906,1.30126361252419,1.36352008905543
"High-income Asia Pacific",NA,"Men",2000,4.93200583930195,4.86004275897772,5.00905625183115,3.61812432187987,3.56457123239168,3.67127316631878,1.33836934482559,1.30805443826344,1.36905696590722
"High-income Asia Pacific",NA,"Men",2001,4.93474903594565,4.86314286599439,5.00877956648703,3.61658594795587,3.56370676424485,3.66887951431418,1.34430587889419,1.31482387848579,1.37443695703359
"High-income Asia Pacific",NA,"Men",2002,4.93779871524963,4.86707851242003,5.00977363895646,3.61532411286096,3.56272473920953,3.66673331424156,1.34984075788399,1.32070617683338,1.37942057943591
"High-income Asia Pacific",NA,"Men",2003,4.94096524111402,4.86934905236858,5.01166636728028,3.6141586064533,3.56217558582203,3.66467535449446,1.35486439348985,1.32543719337796,1.38374255178948
"High-income Asia Pacific",NA,"Men",2004,4.94415831739233,4.87287280132368,5.0141173996292,3.61300159934936,3.56088072980213,3.66336243082472,1.35937129185157,1.32973591722504,1.38775007719465
