"Country/Region/World","ISO","Sex","Year","Age","Prevalence of diabetes (18+ years)","Prevalence of diabetes (18+ years) lower 95% uncertainty interval","Prevalence of diabetes (18+ years) upper 95% uncertainty interval","Proportion of people with diabetes who were treated (30+ years)","Proportion of people with diabetes who were treated (30+ years) lower 95% uncertainty interval","Proportion of people with diabetes who were treated (30+ years) upper 95% uncertainty interval"
"Central Asia, Middle East and north Africa",NA,"Men",2005,"Age-standardised",0.126438293358852,0.115867283928472,0.137558353832459,0.397406032236311,0.357160429322016,0.438538595721271
"Central Asia, Middle East and north Africa",NA,"Men",2006,"Age-standardised",0.129865538141401,0.119599449016722,0.140736008220253,0.403997250463489,0.365775200523586,0.443913568422616
"Central Asia, Middle East and north Africa",NA,"Men",2007,"Age-standardised",0.133583961097198,0.123483669057609,0.144370028822191,0.410361529123414,0.373763139876971,0.448890027727522
"Central Asia, Middle East and north Africa",NA,"Men",2008,"Age-standardised",0.13746953184097,0.127434493671379,0.148016261813846,0.416563769362798,0.381071322388637,0.453517705502676
"Central Asia, Middle East and north Africa",NA,"Men",2009,"Age-standardised",0.141412397509735,0.131238986369877,0.152150532384306,0.422552913795436,0.387610438767477,0.458575409115778
"Central Asia, Middle East and north Africa",NA,"Men",2010,"Age-standardised",0.145300857465886,0.134909432257675,0.155940920837197,0.428128430783282,0.393563349845996,0.463322684921409
"Central Asia, Middle East and north Africa",NA,"Men",2011,"Age-standardised",0.149154871133177,0.138657438500593,0.160148208471054,0.43333689690135,0.399277380838276,0.467882045344651
"Central Asia, Middle East and north Africa",NA,"Men",2012,"Age-standardised",0.152972999399581,0.142281268061085,0.164213124816046,0.437871190656271,0.404144024403779,0.472564747589532
"Central Asia, Middle East and north Africa",NA,"Men",2013,"Age-standardised",0.156829360407137,0.145715162041621,0.168613076862207,0.441522640624851,0.407804816465722,0.47607135027357
"Central Asia, Middle East and north Africa",NA,"Men",2014,"Age-standardised",0.160843483442838,0.149302414446001,0.173251590495298,0.444272787148351,0.410250602650236,0.479017117085411
"Central Asia, Middle East and north Africa",NA,"Men",2015,"Age-standardised",0.165086622639311,0.152646802745513,0.178384308348213,0.446085626889025,0.411520447053318,0.481480074180585
"Central Asia, Middle East and north Africa",NA,"Men",2016,"Age-standardised",0.169603375393839,0.155936403787214,0.183660499260884,0.446700828854634,0.410957786654202,0.483101087343337
"Central Asia, Middle East and north Africa",NA,"Men",2017,"Age-standardised",0.173375395422699,0.158352255434868,0.189101817546437,0.446473711932078,0.40902219079961,0.484783279703313
"Central Asia, Middle East and north Africa",NA,"Men",2018,"Age-standardised",0.176191779564126,0.159208605718089,0.193814848619751,0.44602851986922,0.405855026441679,0.486990468313441
"Central Asia, Middle East and north Africa",NA,"Men",2019,"Age-standardised",0.17885342755493,0.159273734875328,0.199386674762872,0.445705760133928,0.401805060293571,0.490399260507648
"Central Asia, Middle East and north Africa",NA,"Men",2020,"Age-standardised",0.181627020560812,0.158794234354297,0.205559411227845,0.445479335358723,0.396235978171131,0.49500604270594
"Central Asia, Middle East and north Africa",NA,"Men",2021,"Age-standardised",0.184456414497147,0.157668138414088,0.212389221072708,0.444839468578234,0.389182227883545,0.50038340244561
"Central Asia, Middle East and north Africa",NA,"Men",2022,"Age-standardised",0.187603635926678,0.157140706794349,0.219451828555051,0.444500533339799,0.381759642453458,0.507013866324132
"Central Asia, Middle East and north Africa",NA,"Women",1990,"Age-standardised",0.0903801864140523,0.0671084718496644,0.116630886810458,0.339154854084651,0.253399539612244,0.432431447108904
"Central Asia, Middle East and north Africa",NA,"Women",1991,"Age-standardised",0.0936768898731657,0.0716057815739567,0.118263259978263,0.34358523952017,0.262183671817307,0.431240739634698
"Central Asia, Middle East and north Africa",NA,"Women",1992,"Age-standardised",0.097119366196116,0.0760706012918031,0.120574977405618,0.348506757670864,0.270760215739286,0.431706741819675
"Central Asia, Middle East and north Africa",NA,"Women",1993,"Age-standardised",0.100647166044059,0.0807750224964885,0.123225317388449,0.353335387202243,0.278988358155384,0.430676911803522
"Central Asia, Middle East and north Africa",NA,"Women",1994,"Age-standardised",0.104142145821825,0.085548316076007,0.125704402236322,0.358141525186476,0.2883776592081,0.432418787819933
"Central Asia, Middle East and north Africa",NA,"Women",1995,"Age-standardised",0.107550629725988,0.0896594552272596,0.128326606559141,0.36312991206336,0.296857836759123,0.432703515933604
"Central Asia, Middle East and north Africa",NA,"Women",1996,"Age-standardised",0.1108637504463,0.0938065227332917,0.130551735661793,0.368310142919765,0.305152794998767,0.43410494702122
"Central Asia, Middle East and north Africa",NA,"Women",1997,"Age-standardised",0.114051216973506,0.0977028109975993,0.132533786664037,0.373564295219822,0.313929175683494,0.435091857681009
"Central Asia, Middle East and north Africa",NA,"Women",1998,"Age-standardised",0.117087948880203,0.101308487970097,0.134480846258952,0.378919099407285,0.322351852708844,0.437481469769938
"Central Asia, Middle East and north Africa",NA,"Women",1999,"Age-standardised",0.119927550458012,0.105134051232221,0.136133078718032,0.384301236031309,0.330028336835276,0.439673681779523
"Central Asia, Middle East and north Africa",NA,"Women",2000,"Age-standardised",0.122539102648934,0.108509994347686,0.137913409915812,0.389606795147544,0.337788713586851,0.441845710002897
"Central Asia, Middle East and north Africa",NA,"Women",2001,"Age-standardised",0.124983896977579,0.111539571410088,0.139477835898602,0.394828620799161,0.345793599590467,0.444055934754961
"Central Asia, Middle East and north Africa",NA,"Women",2002,"Age-standardised",0.127342166166859,0.114529193868012,0.140836692075286,0.40000629479701,0.353746221762387,0.445855368063393
"Central Asia, Middle East and north Africa",NA,"Women",2003,"Age-standardised",0.129668731877897,0.117551559593847,0.142360811278005,0.405235333291091,0.361756263537766,0.448613974986522
"Central Asia, Middle East and north Africa",NA,"Women",2004,"Age-standardised",0.132039124255184,0.120300513725613,0.144241871104217,0.410590292629798,0.368863470807711,0.451993915918522
"Central Asia, Middle East and north Africa",NA,"Women",2005,"Age-standardised",0.134590233113598,0.12315435031883,0.146270558787379,0.415968041998344,0.376959073403752,0.456167239875184
"Central Asia, Middle East and north Africa",NA,"Women",2006,"Age-standardised",0.137369295594343,0.126179236997264,0.148835230773836,0.421282782073037,0.384340049706864,0.459027493518935
"Central Asia, Middle East and north Africa",NA,"Women",2007,"Age-standardised",0.140447023415503,0.129343319906994,0.151827448273317,0.426421924401172,0.391219745432545,0.462328595681606
"Central Asia, Middle East and north Africa",NA,"Women",2008,"Age-standardised",0.143868085857001,0.132875607347665,0.155303911825653,0.431388734998618,0.397448231803271,0.466009469245678
"Central Asia, Middle East and north Africa",NA,"Women",2009,"Age-standardised",0.147632525951358,0.136303407056748,0.159107635404509,0.436155676890168,0.403151653216136,0.470376599912179
"Central Asia, Middle East and north Africa",NA,"Women",2010,"Age-standardised",0.151501491975671,0.140055500849909,0.163034699066995,0.440584395302705,0.407917373460885,0.474111430332202
"Central Asia, Middle East and north Africa",NA,"Women",2011,"Age-standardised",0.155388159221968,0.143786726418862,0.167090431710437,0.444718819171407,0.412450432094514,0.477545137953589
"Central Asia, Middle East and north Africa",NA,"Women",2012,"Age-standardised",0.159359167582443,0.147924526566941,0.171297452434337,0.448391681681221,0.416030470029131,0.481205869998132
"Central Asia, Middle East and north Africa",NA,"Women",2013,"Age-standardised",0.163500953455799,0.151729839826218,0.175695090463939,0.451389851735118,0.419148572913213,0.484206016277162
"Central Asia, Middle East and north Africa",NA,"Women",2014,"Age-standardised",0.167823677129528,0.155537404046846,0.180292935168995,0.453641360533771,0.421234114661695,0.487285008137406
"Central Asia, Middle East and north Africa",NA,"Women",2015,"Age-standardised",0.172327958877478,0.159204532966584,0.185367245390641,0.455092419408069,0.42198432004769,0.489345120771384
"Central Asia, Middle East and north Africa",NA,"Women",2016,"Age-standardised",0.176996065882925,0.162952991939198,0.191448723443024,0.455638300925892,0.420633550954285,0.491155420474704
"Central Asia, Middle East and north Africa",NA,"Women",2017,"Age-standardised",0.180771282575341,0.16546226426138,0.196836662993963,0.455669160529072,0.417795543796627,0.494146450608499
"Central Asia, Middle East and north Africa",NA,"Women",2018,"Age-standardised",0.183830264644326,0.166357199250446,0.202304793672142,0.455812998109696,0.415309290520153,0.497708818596675
"Central Asia, Middle East and north Africa",NA,"Women",2019,"Age-standardised",0.186943806598199,0.16654669395821,0.208655474116704,0.456113663814855,0.411211667050454,0.501446186992912
"Central Asia, Middle East and north Africa",NA,"Women",2020,"Age-standardised",0.190300269997389,0.166125207933495,0.215861610043947,0.456528933384724,0.406082734176984,0.50681725594704
"Central Asia, Middle East and north Africa",NA,"Women",2021,"Age-standardised",0.193783119831854,0.165393162365715,0.22410721764863,0.456820130707092,0.401084266310568,0.513095508011149
"Central Asia, Middle East and north Africa",NA,"Women",2022,"Age-standardised",0.19743195374127,0.16461396133049,0.232548330030582,0.457174490326598,0.395347667961214,0.519180947448667
"Central and eastern Europe",NA,"Men",1990,"Age-standardised",0.0493544375057791,0.0323202073955425,0.0745972611118014,0.291576926908992,0.172516844352163,0.427933434331396
"Central and eastern Europe",NA,"Men",1991,"Age-standardised",0.0498224302055501,0.0329911554254002,0.0742177074535764,0.294627259361086,0.180485623101682,0.422544426314169
"Central and eastern Europe",NA,"Men",1992,"Age-standardised",0.050317812334526,0.0338505568230283,0.0742530692995663,0.297727864347504,0.188733748304444,0.420536826095645
"Central and eastern Europe",NA,"Men",1993,"Age-standardised",0.0508738991087825,0.034622006169737,0.0743067615054892,0.301209869770656,0.196278685068013,0.420274881296146
"Central and eastern Europe",NA,"Men",1994,"Age-standardised",0.0515254308865175,0.0353033252923767,0.0746182726551485,0.305291373991646,0.204800838556778,0.418278161060686
"Central and eastern Europe",NA,"Men",1995,"Age-standardised",0.0522388917444962,0.0361529527455335,0.0746334597011121,0.309957214798931,0.213012842686162,0.417476655855614
"Central and eastern Europe",NA,"Men",1996,"Age-standardised",0.0530132668483832,0.0369480308940769,0.0751953126470588,0.314999536154805,0.221424444898123,0.419860361277847
"Central and eastern Europe",NA,"Men",1997,"Age-standardised",0.0538252598187593,0.037977883007867,0.0753374642703527,0.320138296795716,0.230020922349964,0.419875416161096
"Central and eastern Europe",NA,"Men",1998,"Age-standardised",0.0547094986543515,0.0390395625496255,0.0758029545181015,0.325714578879481,0.238854864400787,0.421667996630363
"Central and eastern Europe",NA,"Men",1999,"Age-standardised",0.0556886918324362,0.0400310087481958,0.0761424479408082,0.332068966741479,0.248054899033408,0.424287896009747
"Central and eastern Europe",NA,"Men",2000,"Age-standardised",0.0567594417495721,0.0413211660528707,0.0767443101143485,0.339194330764912,0.258742890475928,0.427082647029818
"Central and eastern Europe",NA,"Men",2001,"Age-standardised",0.0579147088103717,0.0425727327208109,0.0774209918461755,0.346875509888808,0.270187514657563,0.430887990456078
"Central and eastern Europe",NA,"Men",2002,"Age-standardised",0.0591101004897858,0.0438506283994988,0.0781120252458838,0.35486271906948,0.280767536369868,0.435450698155153
"Central and eastern Europe",NA,"Men",2003,"Age-standardised",0.0603690228421212,0.0451605096158624,0.0786328207034312,0.363450295500778,0.291904088907473,0.439760731906421
"Central and eastern Europe",NA,"Men",2004,"Age-standardised",0.061710950412044,0.0467241095628442,0.0794075110790848,0.372864539812087,0.305159674710479,0.444896267837692
"Central and eastern Europe",NA,"Men",2005,"Age-standardised",0.0631458480955361,0.0484436489698407,0.0801822499347978,0.383140750807877,0.317939175154098,0.451505879792025
"Central and eastern Europe",NA,"Men",2006,"Age-standardised",0.0646294817694523,0.0504012527389973,0.0810806500217846,0.39391487987139,0.331690340408903,0.459006183163058
"Central and eastern Europe",NA,"Men",2007,"Age-standardised",0.0661177306583908,0.0523387258056495,0.0821201822011125,0.404886068796794,0.346498972083567,0.466759749173111
"Central and eastern Europe",NA,"Men",2008,"Age-standardised",0.0676362618914715,0.0541993265952756,0.0832039006428299,0.416465634240986,0.360435499286885,0.474742721008796
"Central and eastern Europe",NA,"Men",2009,"Age-standardised",0.0692245379342772,0.0563041674277562,0.0840463874973092,0.428691235099043,0.376408537416385,0.484486584320787
"Central and eastern Europe",NA,"Men",2010,"Age-standardised",0.0708407018757873,0.0584251233477414,0.0849797214386314,0.441586777604914,0.391768272616213,0.494225535361742
"Central and eastern Europe",NA,"Men",2011,"Age-standardised",0.072470013862434,0.0605822238531763,0.0859887346986231,0.455058551416388,0.407160378291507,0.503916394081248
"Central and eastern Europe",NA,"Men",2012,"Age-standardised",0.0741001514986288,0.0627593857521114,0.0870689408813539,0.468726011369782,0.422905150063802,0.514692195087662
"Central and eastern Europe",NA,"Men",2013,"Age-standardised",0.0757572539458743,0.0648745669095185,0.0880328327647631,0.482668165310795,0.438357634388196,0.526673598966717
"Central and eastern Europe",NA,"Men",2014,"Age-standardised",0.0774760342505938,0.0667037373470482,0.0895329811665617,0.497045464927279,0.453356450215854,0.539552904838068
"Central and eastern Europe",NA,"Men",2015,"Age-standardised",0.0792975811553781,0.0683583379345166,0.0913315106062869,0.511611340602301,0.468161573697316,0.554692112202289
"Central and eastern Europe",NA,"Men",2016,"Age-standardised",0.0812390219571915,0.0698429570223283,0.0938390480966958,0.526134438473089,0.480280846866969,0.571320129289448
"Central and eastern Europe",NA,"Men",2017,"Age-standardised",0.0832631527270636,0.0709223876223336,0.097405269865889,0.540286049350668,0.491018391811542,0.589137619328708
"Central and eastern Europe",NA,"Men",2018,"Age-standardised",0.085428709385648,0.0715639868580933,0.101216820505547,0.554081829067122,0.501042889609308,0.607813842795991
"Central and eastern Europe",NA,"Men",2019,"Age-standardised",0.0878084208321652,0.0722673147320964,0.106356741530805,0.567596737454583,0.509242692705311,0.627120701691736
"Central and eastern Europe",NA,"Men",2020,"Age-standardised",0.0904094026016026,0.0729175326761084,0.111712659850192,0.580827460469817,0.516150250033463,0.647085028134064
"Central and eastern Europe",NA,"Men",2021,"Age-standardised",0.0932025342669301,0.073269749236689,0.118154152082437,0.593820440096503,0.522334594901541,0.666879817703542
"Central and eastern Europe",NA,"Men",2022,"Age-standardised",0.0963064731726701,0.0729285103947427,0.12564600243716,0.608180384225639,0.529023791797294,0.687516554580064
"Central and eastern Europe",NA,"Women",1990,"Age-standardised",0.0468736910426263,0.0269161528614637,0.0774828153612505,0.35057882877508,0.216511627040494,0.492301917051354
"Central and eastern Europe",NA,"Women",1991,"Age-standardised",0.0470807498962303,0.0278229159883854,0.0761851802278912,0.355034125042627,0.225449396207525,0.493466932565176
"Central and eastern Europe",NA,"Women",1992,"Age-standardised",0.0473378395829126,0.028577269541971,0.0753032969649795,0.359592718954688,0.232801354346021,0.494019414199488
"Central and eastern Europe",NA,"Women",1993,"Age-standardised",0.0476461677680493,0.0293733254378357,0.0746574075092793,0.36434182253659,0.240886021582954,0.493840854789587
"Central and eastern Europe",NA,"Women",1994,"Age-standardised",0.0479956354884108,0.0301403659464489,0.0745812906513172,0.369450995012489,0.249342491289419,0.494702063230649
"Central and eastern Europe",NA,"Women",1995,"Age-standardised",0.0483924978299045,0.0308319094439183,0.0740263871397728,0.374909895168037,0.257272378915935,0.496467239990607
"Central and eastern Europe",NA,"Women",1996,"Age-standardised",0.0488303492298905,0.0313757067206609,0.0734011667997936,0.380687080130386,0.265801347957316,0.497817243457008
"Central and eastern Europe",NA,"Women",1997,"Age-standardised",0.049321886774301,0.0319683866282053,0.0729662641692627,0.386737224692229,0.27576782844305,0.499410902531996
"Central and eastern Europe",NA,"Women",1998,"Age-standardised",0.0498662605173404,0.0328973355489819,0.0729864124631856,0.392993984140281,0.286249471357183,0.501477975338107
"Central and eastern Europe",NA,"Women",1999,"Age-standardised",0.050466380035788,0.0339660527758456,0.0729344832430693,0.399686898982925,0.296091445382911,0.505776929105299
"Central and eastern Europe",NA,"Women",2000,"Age-standardised",0.0511199495895932,0.0351423903803337,0.0727229926885534,0.406744477663702,0.306191802936245,0.508821558543647
"Central and eastern Europe",NA,"Women",2001,"Age-standardised",0.0518417214651944,0.0362736877073587,0.0723909125151365,0.414265642426037,0.317881250113599,0.51232789585797
"Central and eastern Europe",NA,"Women",2002,"Age-standardised",0.0526515615843741,0.0373271325631726,0.0725903451114287,0.422138446896165,0.328974971808488,0.51674285422956
"Central and eastern Europe",NA,"Women",2003,"Age-standardised",0.0535667971037929,0.038525974333465,0.0729075947477625,0.430378429689488,0.340937882034219,0.521011799367417
"Central and eastern Europe",NA,"Women",2004,"Age-standardised",0.0545817263373604,0.039788860386502,0.0734351612698332,0.439070682103694,0.352742342725237,0.526621895842161
"Central and eastern Europe",NA,"Women",2005,"Age-standardised",0.055698024688952,0.0412395313498585,0.0737080935047586,0.448178023082656,0.364507362529717,0.530984788769799
"Central and eastern Europe",NA,"Women",2006,"Age-standardised",0.0568989178020253,0.0426997597288717,0.0742981154179668,0.457650920135053,0.37721623766083,0.537089177911568
"Central and eastern Europe",NA,"Women",2007,"Age-standardised",0.0581793472861748,0.044261379024326,0.0749423010581443,0.467374457132898,0.392358938052325,0.542776153422345
"Central and eastern Europe",NA,"Women",2008,"Age-standardised",0.0595275542540686,0.0462285845788232,0.0757349214908371,0.477335340283826,0.405995088595127,0.548137110340965
"Central and eastern Europe",NA,"Women",2009,"Age-standardised",0.0609487926393077,0.048195072230384,0.0760679022133605,0.487692112812658,0.420979635144278,0.554655054000092
"Central and eastern Europe",NA,"Women",2010,"Age-standardised",0.0624152809016313,0.0503853228120225,0.0764371164261795,0.498073055561878,0.435957781136688,0.560935023143506
"Central and eastern Europe",NA,"Women",2011,"Age-standardised",0.0639339527914825,0.0525510158285013,0.0772263786321843,0.508459230968268,0.449435562748083,0.567860542978745
"Central and eastern Europe",NA,"Women",2012,"Age-standardised",0.0654885736967681,0.0547270556153762,0.0778599174263622,0.51897344302282,0.462266926365002,0.576227206040041
"Central and eastern Europe",NA,"Women",2013,"Age-standardised",0.0671205264502303,0.0568214010180857,0.0784560979354481,0.529512585559875,0.474428539695319,0.584138426619334
"Central and eastern Europe",NA,"Women",2014,"Age-standardised",0.0688470661457954,0.058894363151523,0.0795666727525442,0.54001609194355,0.486959823523386,0.593065475741476
"Central and eastern Europe",NA,"Women",2015,"Age-standardised",0.0707052716600765,0.0608472714597687,0.0814759903592347,0.550406553419118,0.497220488531351,0.601568209540458
"Central and eastern Europe",NA,"Women",2016,"Age-standardised",0.0726967724011792,0.0625103155384509,0.0842237253862186,0.560652862317205,0.50742047694908,0.612895821226682
"Central and eastern Europe",NA,"Women",2017,"Age-standardised",0.0747998379917281,0.0639656195512584,0.0873914887301505,0.570579025529321,0.515429252733564,0.625773361283906
"Central and eastern Europe",NA,"Women",2018,"Age-standardised",0.0770757989330413,0.0648591829937762,0.0913973117323747,0.580171345157523,0.521554592928716,0.638464989965484
"Central and eastern Europe",NA,"Women",2019,"Age-standardised",0.0795473593052883,0.065322398650971,0.0963993087694872,0.589410629441648,0.525570789354555,0.652238409962147
"Central and eastern Europe",NA,"Women",2020,"Age-standardised",0.0822068681086315,0.0656998321231003,0.102446319129568,0.598292545364133,0.529243768218098,0.665741972242709
"Central and eastern Europe",NA,"Women",2021,"Age-standardised",0.0850596777345963,0.0653465926067193,0.109517976623215,0.606876121737888,0.53162510347281,0.680353291430835
"Central and eastern Europe",NA,"Women",2022,"Age-standardised",0.0880649351673405,0.064944512032973,0.117430779084637,0.616698688746873,0.534697141210643,0.697193634097556
"East and southeast Asia and the Pacific",NA,"Men",1990,"Age-standardised",0.0535662366223788,0.0385319259160807,0.0718279500015837,0.258904628575302,0.170291896540566,0.360973872414994
"East and southeast Asia and the Pacific",NA,"Men",1991,"Age-standardised",0.0543577705133683,0.0400234012941684,0.0710598998636926,0.259391081668321,0.176012889173345,0.354365417506127
"East and southeast Asia and the Pacific",NA,"Men",1992,"Age-standardised",0.0552040634639142,0.041727910639077,0.0711053488176009,0.260183295094173,0.182787103434457,0.348505844731262
"East and southeast Asia and the Pacific",NA,"Men",1993,"Age-standardised",0.0560869697381442,0.0430913199095782,0.0712457199614579,0.261239846683282,0.187788893569875,0.343145750406519
"East and southeast Asia and the Pacific",NA,"Men",1994,"Age-standardised",0.0569866101016167,0.0446391620659721,0.0713717844770462,0.262481553734821,0.192818409751496,0.340710329454447
"East and southeast Asia and the Pacific",NA,"Men",1995,"Age-standardised",0.0579060391868152,0.0460924532759515,0.0716077314231696,0.263886861150302,0.197529305038733,0.33763050150045
"East and southeast Asia and the Pacific",NA,"Men",1996,"Age-standardised",0.0588607318140867,0.0476614263144732,0.0721470897902399,0.265586049643556,0.202485624821718,0.335259747480867
"East and southeast Asia and the Pacific",NA,"Men",1997,"Age-standardised",0.0598384169343102,0.0490638601462413,0.072424275409116,0.267641519388115,0.208307795852772,0.333127242108588
"East and southeast Asia and the Pacific",NA,"Men",1998,"Age-standardised",0.0608273057087065,0.0502666748468004,0.073070761809847,0.270000266408841,0.213191129704502,0.333301477594932
"East and southeast Asia and the Pacific",NA,"Men",1999,"Age-standardised",0.0618631569958972,0.0518084774178909,0.0736824501400738,0.272679225414606,0.218571133721072,0.332742497653118
"East and southeast Asia and the Pacific",NA,"Men",2000,"Age-standardised",0.0629607175542545,0.0532281131825112,0.0744088350658799,0.275732688919829,0.223414190895407,0.332355235292301
"East and southeast Asia and the Pacific",NA,"Men",2001,"Age-standardised",0.064150696100404,0.0545922772160431,0.0753235029381489,0.279225080440599,0.228765820774817,0.334133596356322
"East and southeast Asia and the Pacific",NA,"Men",2002,"Age-standardised",0.0654624389948318,0.0561932056132368,0.0762805552685891,0.283160640916851,0.235446102675397,0.335725818170403
"East and southeast Asia and the Pacific",NA,"Men",2003,"Age-standardised",0.0668457709435446,0.0578969675203075,0.0771097979973076,0.2874959391877,0.241645315785305,0.336358507394664
"East and southeast Asia and the Pacific",NA,"Men",2004,"Age-standardised",0.0682752062415407,0.0594379847799673,0.0780886983964306,0.292328869037899,0.249164028529024,0.338335876021284
"East and southeast Asia and the Pacific",NA,"Men",2005,"Age-standardised",0.0697511390512753,0.0611218052678569,0.0792244606850125,0.297575821288111,0.257559649207126,0.340464344979195
"East and southeast Asia and the Pacific",NA,"Men",2006,"Age-standardised",0.0713239257856751,0.0630171520002014,0.0803931935640083,0.303113212143146,0.265139187566135,0.342776567383301
"East and southeast Asia and the Pacific",NA,"Men",2007,"Age-standardised",0.0729714306245073,0.0648875168048791,0.0818757575869107,0.308824711614951,0.273490780164927,0.345781318483157
"East and southeast Asia and the Pacific",NA,"Men",2008,"Age-standardised",0.0747199719839962,0.0669033982813363,0.0833977749689067,0.314656415293292,0.281155040149389,0.349427496174367
"East and southeast Asia and the Pacific",NA,"Men",2009,"Age-standardised",0.0765720533439187,0.0689378536017378,0.0848720484187191,0.320715335355413,0.288837126649164,0.353598085835605
"East and southeast Asia and the Pacific",NA,"Men",2010,"Age-standardised",0.0785022047731843,0.0709399709526008,0.0869138353779254,0.326963351225639,0.296028049647002,0.359310282131321
"East and southeast Asia and the Pacific",NA,"Men",2011,"Age-standardised",0.080543143788904,0.0725896850424318,0.0889575392273606,0.333371608138722,0.302192171844652,0.366048617156235
"East and southeast Asia and the Pacific",NA,"Men",2012,"Age-standardised",0.0827721977660895,0.0743122604429495,0.0917274582014829,0.339772228833804,0.307884860835775,0.373060508679438
"East and southeast Asia and the Pacific",NA,"Men",2013,"Age-standardised",0.0853148862798312,0.0760119045533248,0.0950307486449173,0.345967083443461,0.31144302944278,0.381462845758877
"East and southeast Asia and the Pacific",NA,"Men",2014,"Age-standardised",0.0882115382413881,0.0779895811279361,0.0992435540866278,0.352054396789636,0.313700476845597,0.391025516271353
"East and southeast Asia and the Pacific",NA,"Men",2015,"Age-standardised",0.091482787285229,0.080064612938372,0.104216093284081,0.358099948632379,0.315867849888234,0.402794931670908
"East and southeast Asia and the Pacific",NA,"Men",2016,"Age-standardised",0.0951812524870694,0.0820037792895277,0.110421096665105,0.36391166373164,0.316248967733297,0.415687509654783
"East and southeast Asia and the Pacific",NA,"Men",2017,"Age-standardised",0.0992087497333582,0.0835447632688119,0.117110452789729,0.369502298206131,0.315677246672296,0.428580876394023
"East and southeast Asia and the Pacific",NA,"Men",2018,"Age-standardised",0.103530948316065,0.0845870149627562,0.125160695546852,0.374910625181151,0.313321774678434,0.441453831229841
"East and southeast Asia and the Pacific",NA,"Men",2019,"Age-standardised",0.10815345970476,0.0856430688129173,0.134116626288937,0.380352783823122,0.309658617999709,0.457583754838586
"East and southeast Asia and the Pacific",NA,"Men",2020,"Age-standardised",0.113066640594052,0.0861755067705112,0.144829318717491,0.386010020933689,0.305385895889723,0.474085550907994
"East and southeast Asia and the Pacific",NA,"Men",2021,"Age-standardised",0.118302247635652,0.086542267481999,0.156857886497661,0.391921630758668,0.300664915660703,0.491480765731184
"East and southeast Asia and the Pacific",NA,"Men",2022,"Age-standardised",0.123822774450677,0.0867536192442867,0.169745521273455,0.397754670291031,0.293419734515485,0.510477874082361
"East and southeast Asia and the Pacific",NA,"Women",1990,"Age-standardised",0.056693565273325,0.0400505302513237,0.0789599944134017,0.284603518486781,0.200313266007376,0.379573648646639
